code,lot
CHR 114.4 ,13
CHR 117.4 ,13
CHR 118.2 ,13
CHR 119.2 ,13
CHR 119.3 ,13
CHR 119.4 ,13
CHR 120.3 ,13
CHS 607.3 ,13
CHS 607.4 ,13
CHS 612.2 ,13
CHS 613.5 ,13
CHS 615.7 ,13
CHS 620.3 ,13
GS 100506,13
GS 103204,13
HAR 63HA405,13
HAR 65EM505,13
LV 110111.2 ,13
LV 110120.4 ,13
LV 110121.4 ,13
LV 110124.2 ,13
LV 110125.2 ,13
LV 110129.3 ,13
TR 801213,13
TR 826253,13
CHA 315.5 ,14
CHA 325.5 ,14
CHR 102.5 ,14
CHR 106.5 ,14
CHR 109.3 ,14
CHR 111.7 ,14
CHR 112.2 ,14
CHR 113.5 ,14
CHR 114.4 ,14
CHR 116.3 ,14
CHR 117.1 ,14
CHR 119.4 ,14
CHS 615.2 ,14
CHS 615.5 ,14
CHS 620.2 ,14
GS 100505,14
HAR 63HA201,14
LV 110118.4 ,14
LV 110118.5 ,14
TR 801615,14
TR 826153,14
CHA 325.4 ,15
CHO 142.1 ,15
CHR 104.1 ,15
CHR 104.2 ,15
CHR 104.4 ,15
CHR 106.2 ,15
CHR 106.3 ,15
CHR 107.1 ,15
CHR 107.2 ,15
CHR 108.3 ,15
CHR 108.5 ,15
CHR 109.5 ,15
CHR 111.4 ,15
CHR 114.1 ,15
CHR 118.3 ,15
CHS 615.5 ,15
CHS 620.2 ,15
GS 103202,15
HAR 63HA304,15
LV 110114.2 ,15
LV 110122.4 ,15
LV 110122.7 ,15
TR 801123,15
CHA 309.1 ,16
CHA 316.3 ,16
CHO 142.1 ,16
CHO 142.2 ,16
CHR 106.2 ,16
CHR 106.3 ,16
CHR 106.5 ,16
CHR 108.3 ,16
CHR 111.3 ,16
CHR 111.4 ,16
CHR 111.7 ,16
CHR 114.1 ,16
CHR 114.2 ,16
CHR 114.4 ,16
CHR 118.2 ,16
CHR 118.3 ,16
CHR 120.1 ,16
CHR 120.3 ,16
CHS 620.3 ,16
HAR 65EM105,16
LV 110126.6 ,16
TR 801503,16
CHA 325.1 ,17
CHO 142.1 ,17
CHR 104.2 ,17
CHR 106.5 ,17
CHR 107.1 ,17
CHR 107.3 ,17
CHR 111.4 ,17
CHR 111.7 ,17
CHR 114.1 ,17
CHR 114.2 ,17
CHR 115.3 ,17
CHR 117.1 ,17
CHR 117.4 ,17
CHR 119.4 ,17
CHR 120.1 ,17
CHR 120.3 ,17
CHS 613.5 ,17
GS 103203,17
HAR 63HA103,17
HAR 63HA306,17
LV 110113.2 ,17
LV 110116.2 ,17
LV 110116.4 ,17
LV 110124.4 ,17
LV 110126.4 ,17
LV 110126.7 ,17
TR 805105,17
